E_prompt,Li_He,geoneutrinos,world_reactors,bi_po,others,Total_background
0.05,13.502620825200909,75.00352883556621,3.5760711160647642,0.4796411165624269,1.7602987727464514,94.32216066614077
0.15000000000000002,30.432864180272983,13.686720367848524,5.065837361982227,2.3579969640606895,1.8878327933566366,53.43125166752106
0.25,33.756552063002324,9.946786420108099,8.762443529908074,1.067449592501206,0.8820092762263797,54.41524088174608
0.35000000000000003,37.13220726930233,7.9574291360863745,5.8416290199387095,0.7638739699706875,1.3708149367602247,53.065954332058325
0.45,37.13220726930233,7.780425074846616,5.8416290199387095,0.9431987856242633,1.091893940210467,52.789354089922384
0.55,33.75655206300306,3.9787145680431872,4.3812217649541285,0.941802509476359,1.7625147003193877,44.820805605796124
0.6500000000000001,27.90913385431289,3.9787145680431872,4.3812217649541285,0.8755142081345418,1.1750098002128995,38.31959419565764
0.75,10.126965618900902,5.135038492182933,4.953919579504106,0.9431987856242633,0.6211442935803178,21.780266769792526
0.8500000000000001,13.502620825200909,7.9574291360863745,4.822805077801028,1.3221252824213,2.205810484655666,29.810790806165276
0.95,16.878276031501358,6.415213401188478,4.3812217649541285,0.9431987856242633,1.3675710019315703,29.9854809851998
1.05,0.0,0.0,0.0,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0
1.35,0.0,0.0,0.0,0.0,0.0,0.0
1.4500000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1.55,0.0,0.0,0.0,0.0,0.0,0.0
1.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0
1.85,0.0,0.0,0.0,0.0,0.0,0.0
1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.0,0.0,0.0,0.0,0.0,0.0
2.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0,0.0,0.0
2.3500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
2.45,0.0,0.0,0.0,0.0,0.0,0.0
2.55,0.0,0.0,0.0,0.0,0.0,0.0
2.6500000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0,0.0,0.0
2.8500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
2.95,0.0,0.0,0.0,0.0,0.0,0.0
3.05,0.0,0.0,0.0,0.0,0.0,0.0
3.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0,0.0,0.0,0.0
3.3500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
3.45,0.0,0.0,0.0,0.0,0.0,0.0
3.55,0.0,0.0,0.0,0.0,0.0,0.0
3.6500000000000004,0.0,0.0,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0,0.0,0.0
3.8500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
3.95,0.0,0.0,0.0,0.0,0.0,0.0
4.050000000000001,0.0,0.0,0.0,0.0,0.0,0.0
4.15,0.0,0.0,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0,0.0,0.0
4.35,0.0,0.0,0.0,0.0,0.0,0.0
4.45,0.0,0.0,0.0,0.0,0.0,0.0
4.550000000000001,0.0,0.0,0.0,0.0,0.0,0.0
4.65,0.0,0.0,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0,0.0,0.0
4.8500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
4.95,0.0,0.0,0.0,0.0,0.0,0.0
5.050000000000001,0.0,0.0,0.0,0.0,0.0,0.0
5.15,0.0,0.0,0.0,0.0,0.0,0.0
5.25,0.0,0.0,0.0,0.0,0.0,0.0
5.3500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
5.45,0.0,0.0,0.0,0.0,0.0,0.0
5.550000000000001,0.0,0.0,0.0,0.0,0.0,0.0
5.65,0.0,0.0,0.0,0.0,0.0,0.0
5.75,0.0,0.0,0.0,0.0,0.0,0.0
5.8500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
5.95,0.0,0.0,0.0,0.0,0.0,0.0
6.050000000000001,0.0,0.0,0.0,0.0,0.0,0.0
6.15,0.0,0.0,0.0,0.0,0.0,0.0
6.25,0.0,0.0,0.0,0.0,0.0,0.0
6.3500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
6.45,0.0,0.0,0.0,0.0,0.0,0.0
6.550000000000001,0.0,0.0,0.0,0.0,0.0,0.0
6.65,0.0,0.0,0.0,0.0,0.0,0.0
6.75,0.0,0.0,0.0,0.0,0.0,0.0
6.8500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
6.95,0.0,0.0,0.0,0.0,0.0,0.0
7.050000000000001,0.0,0.0,0.0,0.0,0.0,0.0
7.15,0.0,0.0,0.0,0.0,0.0,0.0
7.25,0.0,0.0,0.0,0.0,0.0,0.0
7.3500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
7.45,0.0,0.0,0.0,0.0,0.0,0.0
7.550000000000001,0.0,0.0,0.0,0.0,0.0,0.0
7.65,0.0,0.0,0.0,0.0,0.0,0.0
7.75,0.0,0.0,0.0,0.0,0.0,0.0
7.8500000000000005,0.0,0.0,0.0,0.0,0.0,0.0
7.95,0.0,0.0,0.0,0.0,0.0,0.0
8.05,0.0,0.0,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0,0.0,0.0
8.350000000000001,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0
8.850000000000001,0.0,0.0,0.0,0.0,0.0,0.0
8.95,0.0,0.0,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0,0.0,0.0
9.15,0.0,0.0,0.0,0.0,0.0,0.0
9.25,0.0,0.0,0.0,0.0,0.0,0.0
9.350000000000001,0.0,0.0,0.0,0.0,0.0,0.0
9.45,0.0,0.0,0.0,0.0,0.0,0.0
9.55,0.0,0.0,0.0,0.0,0.0,0.0
9.650000000000002,0.0,0.0,0.0,0.0,0.0,0.0
9.75,0.0,0.0,0.0,0.0,0.0,0.0
9.850000000000001,0.0,0.0,0.0,0.0,0.0,0.0
9.95,0.0,0.0,0.0,0.0,0.0,0.0
